01	1,2,3,4,6,9,10,13,15,16,20,25,26,29,49,59,62,68,147,148,173,176,178,227,230,249,273,277,301,304,329,373,415,554,555,582,609,617,721,726,765,813,981,1167,1274,1660,2040,2049,2176,2223,2412,2499,2577,2727,2739,3042,3356,3479,3808,4104,4169,4486,4806,4984,5151,5345,5543,6621,7055,7546,8454,8880,9835,9889,10179,10213,10242,10336,10370,10917,11002,11025,11652,12011,12398
02	22,34,41,51,72,77,78,86,89,93,94,108,116,124,149,153,157,167,168,179,191,192,195,200,229,234,236,263,270,288,296,311,316,344,360,392,402,403,413,424,427,428,433,435,442,455,466,482,490,507,510,567,586,788,816,864,970,984,1163,1320,1358,1424,1521,1600,1800,2023,2045,3049,3364,3393,4678,5690,6092,6718
03	376,397,421,425,443,450,454,456,460,504,506,511,522,525,529,535,538,544,548,560,562,565,568,569,570,572,577,584,588,594,602,612,613,618,629,636,637,646,648,650,660,667,668,670,672,675,691,697,699,702,703,715,718,719,722,724,733,735,740,746,748,756,767,770,774,785,790,791,796,798,801,807,814,817,821,823,826,842,844,849,856,869,873,876,878,879,881,883,898,908,910,915,917,920,924,925,939,943,944,962,966,982,986,990,991,994,995,997,1001,1002,1009,1012,1017,1018,1020,1023,1029,1030,1035,1036,1038,1045,1053,1058,1059,1068,1073,1080,1083,1088,1093,1094,1097,1098,1107,1108,1112,1115,1116,1117,1118,1119,1121,1125,1134,1136,1138,1140,1148,1150,1154,1155,1156,1157,1168,1171,1175,1177,1179,1182,1190,1198,1199,1204,1207,1208,1222,1223,1224,1226,1229,1230,1235,1237,1243,1252,1258,1273,1276,1278,1279,1285,1296,1301,1307,1310,1311,1312,1314,1321,1324,1326,1328,1330,1331,1333,1337,1338,1340,1341,1342,1343,1344,1351,1352,1355,1361,1363,1364,1366,1368,1376,1378,1380,1392,1394,1395,1396,1405,1411,1417,1426,1427,1437,1442,1445,1446,1449,1450,1457,1461,1462,1463,1465,1466,1467,1473,1475,1478,1480,1497,1499,1500,1508,1515,1522,1529,1536,1541,1544,1549,1552,1557,1560,1562,1565,1569,1577,1579,1580,1581,1585,1587,1592,1596,1597,1601,1611,1636,1640,1642,1643,1644,1646,1647,1665,1666,1678,1681,1691,1694,1700,1724,1726,1729,1731,1732,1734,1735,1737,1743,1744,1750,1759,1761,1763,1766,1769,1773,1774,1778,1783,1789,1793,1794,1804,1808,1810,1811,1813,1818,1835,1838,1843,1844,1845,1849,1861,1862,1863,1874,1876,1878,1891,1893,1895,1899,1903,1904,1910,1925,1929,1938,1941,1957,1962,1963,1966,1972,1974,1977,1987,1988,1994,1995,2009,2024,2027,2028,2030,2032,2035,2044,2050,2056,2061,2064,2065,2068,2069,2077,2078,2082,2083,2091,2095,2110,2111,2121,2123,2124,2128,2131,2132,2134,2135,2138,2139,2140,2145,2152,2159,2166,2177,2179,2186,2199,2200,2211,2221,2231,2251,2255,2256,2278,2281,2285,2290,2298,2300,2301,2314,2315,2318,2324,2329,2332,2335,2353,2357,2362,2364,2373,2378,2381,2382,2383,2387,2388,2413,2414,2424,2431,2432,2435,2437,2439,2446,2449,2455,2479,2482,2486,2492,2494,2496,2503,2520,2537,2538,2540,2551,2557,2558,2566,2567,2568,2573,2575,2578,2582,2583,2588,2602,2615,2616,2619,2624,2637,2638,2648,2653,2665,2669,2670,2671,2675,2679,2687,2688,2692,2699,2710,2712,2715,2716,2719,2723,2734,2735,2738,2741,2747,2748,2770,2772,2775,2778,2786,2789,2792,2793,2819,2829,2843,2852,2853,2856,2857,2863,2875,2883,2887,2888,2892,2894,2905,2907,2909,2924,2936,2937,2952,2957,2959,2963,2964,2968,2970,2973,2976,2986,2991,2999,3002,3003,3008,3010,3015,3016,3017,3019,3022,3037,3052,3059,3063,3089,3101,3104,3112,3115,3116,3118,3125,3127,3140,3145,3146,3163,3165,3176,3182,3184,3189,3192,3193,3199,3201,3203,3216,3219,3223,3231,3233,3234,3235,3240,3243,3275,3289,3291,3305,3308,3316,3319,3320,3328,3332,3336,3350,3360,3372,3377,3387,3391,3398,3406,3408,3417,3418,3419,3424,3428,3430,3431,3434,3435,3436,3444,3448,3467,3471,3475,3478,3489,3506,3518,3530,3531,3538,3544,3548,3573,3576,3587,3590,3595,3598,3599,3602,3610,3616,3619,3635,3645,3647,3648,3662,3670,3671,3681,3689,3690,3698,3703,3710,3717,3721,3725,3737,3738,3748,3749,3769,3792,3801,3806,3814,3819,3827,3838,3845,3846,3862,3863,3864,3871,3874,3881,3884,3897,3902,3903,3904,3918,3982,4001,4011,4014,4038,4046,4052,4054,4055,4057,4066,4079,4105,4107,4109,4114,4121,4123,4127,4131,4141,4149,4150,4154,4164,4189,4190,4197,4202,4228,4230,4239,4240,4241,4263,4269,4270,4272,4279,4288,4292,4303,4305,4321,4325,4327,4329,4331,4335,4354,4359,4363,4375,4379,4381,4387,4388,4391,4405,4421,4427,4435,4441,4468,4478,4495,4498,4505,4518,4519,4528,4531,4532,4537,4538,4539,4544,4548,4555,4564,4566,4573,4591,4612,4613,4619,4622,4632,4640,4654,4656,4667,4679,4680,4695,4701,4705,4707,4740,4755,4759,4771,4778,4783,4795,4805,4811,4818,4820,4821,4836,4860,4871,4878,4882,4883,4892,4896,4903,4919,4920,4921,4936,4943,4948,4949,4957,4963,4971,5001,5006,5015,5021,5037,5044,5047,5070,5072,5087,5090,5111,5119,5124,5132,5155,5159,5162,5175,5186,5203,5211,5219,5231,5239,5261,5277,5278,5314,5315,5317,5319,5321,5323,5337,5351,5355,5359,5368,5369,5386,5393,5400,5413,5424,5434,5436,5441,5444,5476,5494,5495,5497,5503,5504,5507,5509,5510,5514,5519,5527,5529,5568,5572,5577,5579,5581,5606,5615,5619,5627,5628,5629,5630,5633,5639,5652,5653,5666,5671,5717,5731,5739,5748,5759,5780,5783,5791,5792,5811,5828,5833,5841,5871,5889,5891,5908,5920,5940,5944,5955,5960,5961,5962,5998,6008,6014,6022,6026,6057,6062,6085,6104,6107,6111,6126,6143,6185,6191,6233,6250,6261,6263,6274,6276,6289,6294,6300,6329,6357,6401,6411,6420,6423,6447,6496,6512,6517,6548,6566,6568,6571,6578,6585,6589,6590,6591,6600,6605,6632,6646,6649,6650,6664,6674,6704,6706,6708,6711,6722,6751,6754,6756,6762,6764,6774,6780,6783,6789,6818,6824,6832,6841,6844,6849,6863,6870,6872,6877,6891,6906,6921,6937,6955,6990,6999,7015,7019,7033,7071,7089,7118,7122,7128,7157,7171,7173,7195,7197,7220,7232,7248,7251,7264,7271,7273,7300,7373,7375,7406,7416,7417,7429,7433,7442,7449,7471,7472,7489,7502,7503,7504,7511,7525,7547,7565,7569,7573,7600,7601,7602,7649,7655,7657,7670,7676,7687,7713,7721,7726,7729,7790,7822,7838,7852,7871,7873,7910,7919,7925,7947,7956,7973,7979,7980,7986,7987,7988,8003,8010,8011,8016,8028,8029,8033,8040,8043,8050,8098,8099,8106,8130,8141,8168,8217,8222,8235,8253,8259,8270,8279,8284,8326,8357,8359,8360,8365,8372,8403,8418,8458,8463,8482,8499,8512,8556,8576,8584,8589,8609,8630,8654,8674,8686,8699,8713,8757,8768,8772,8789,8790,8804,8814,8827,8847,8848,8908,8913,8919,8944,8958,8974,8977,8981,8998,9007,9020,9028,9041,9062,9074,9085,9096,9117,9123,9154,9168,9183,9193,9196,9219,9243,9254,9260,9290,9296,9301,9302,9312,9323,9337,9338,9351,9355,9359,9409,9434,9443,9447,9459,9464,9466,9468,9482,9520,9525,9526,9556,9563,9564,9574,9577,9582,9612,9614,9631,9650,9664,9667,9698,9703,9723,9738,9742,9745,9746,9751,9809,9810,9832,9854,9871,9872,9902,9914,9917,9924,9928,9929,9944,9951,9952,9972,9974,10005,10007,10067,10074,10081,10084,10092,10093,10102,10141,10153,10159,10172,10174,10187,10212,10215,10219,10230,10236,10293,10331,10332,10334,10357,10374,10389,10405,10406,10415,10434,10449,10450,10462,10468,10473,10493,10506,10535,10541,10564,10587,10591,10608,10655,10659,10676,10719,10720,10767,10793,10806,10831,10850,10856,10859,10864,10868,10873,10874,10896,10908,10910,10941,10948,10953,11001,11005,11021,11027,11042,11056,11072,11084,11099,11105,11110,11124,11145,11158,11166,11182,11184,11195,11213,11231,11237,11247,11248,11254,11269,11271,11293,11299,11306,11325,11337,11338,11342,11345,11346,11367,11393,11405,11432,11451,11453,11455,11473,11481,11529,11537,11559,11584,11627,11641,11679,11680,11711,11723,11725,11739,11741,11742,11797,11803,11817,11818,11859,11873,11876,11894,11910,11913,11927,11964,11979,11984,12002,12084,12101,12114,12155,12157,12159,12163,12171,12176,12188,12193,12204,12227,12229,12241,12255,12256,12269,12291,12292,12346,12349,12360,12365,12387,12396,12419,12448,12495,12510,12515,12521,12530,12533,12535,12552,12553,12558,12560,12564,12569,12612,12622,12635,12684,12690,12728,12735,12775,12777,12884,12890,12892,12901,12976,12982,12997,13005,13018
04	32,36,44,57,61,85,88,103,118,132,142,158,161,172,214,241,286,338,487,551,1790,2407
05	416,439,561,585,692,696,708,754,757,761,795,837,931,933,968,1082,1096,1103,1151,1172,1178,1211,1250,1271,1284,1291,1316,1317,1389,1422,1435,1447,1470,1474,1482,1507,1512,1518,1520,1551,1589,1590,1591,1610,1622,1626,1649,1659,1669,1672,1687,1695,1709,1717,1720,1739,1753,1764,1797,1824,1825,1854,1868,1873,1890,1916,1918,1923,1947,1948,1952,1965,1986,1996,2007,2025,2048,2053,2071,2074,2075,2084,2094,2112,2116,2126,2142,2148,2160,2171,2172,2175,2193,2224,2229,2242,2249,2265,2307,2313,2323,2355,2356,2361,2370,2379,2384,2385,2390,2410,2441,2457,2463,2464,2477,2489,2500,2519,2543,2550,2564,2570,2572,2587,2597,2604,2618,2625,2633,2639,2714,2718,2729,2733,2744,2783,2797,2802,2845,2851,2872,2890,2901,2910,2911,2919,2922,2950,2951,2958,2974,2985,2989,2996,3013,3023,3034,3038,3047,3048,3050,3054,3082,3093,3098,3144,3151,3154,3155,3161,3178,3179,3183,3185,3195,3221,3238,3239,3241,3249,3252,3253,3293,3295,3296,3301,3304,3321,3324,3326,3343,3344,3373,3375,3380,3400,3409,3410,3411,3452,3454,3463,3473,3474,3481,3493,3511,3521,3571,3608,3626,3630,3639,3651,3674,3678,3697,3712,3723,3746,3760,3763,3780,3788,3803,3805,3828,3831,3839,3852,3866,3867,3882,3909,3913,3945,3946,3969,3990,3994,4019,4021,4030,4032,4084,4089,4092,4093,4094,4102,4115,4116,4120,4137,4161,4166,4192,4195,4215,4217,4221,4268,4274,4280,4282,4291,4300,4308,4313,4324,4333,4334,4337,4339,4346,4347,4355,4357,4378,4386,4396,4398,4406,4420,4433,4453,4484,4490,4506,4508,4511,4525,4535,4557,4563,4571,4589,4594,4610,4617,4626,4652,4653,4658,4683,4684,4693,4709,4712,4723,4724,4733,4738,4761,4769,4782,4796,4803,4829,4835,4837,4845,4855,4875,4876,4886,4906,5016,5020,5029,5038,5045,5048,5054,5055,5062,5068,5084,5085,5095,5103,5139,5147,5174,5177,5195,5201,5202,5222,5230,5233,5259,5276,5279,5285,5312,5326,5332,5343,5377,5379,5382,5392,5394,5396,5402,5419,5451,5455,5474,5475,5518,5544,5545,5548,5563,5587,5600,5678,5685,5689,5694,5697,5702,5703,5746,5756,5758,5771,5772,5786,5788,5818,5822,5835,5839,5840,5842,5847,5849,5855,5869,5890,5909,5916,5917,5938,5966,5971,5999,6023,6025,6042,6050,6051,6055,6059,6100,6101,6105,6115,6119,6129,6130,6145,6159,6187,6215,6221,6227,6234,6245,6267,6275,6283,6297,6312,6322,6331,6332,6352,6366,6383,6386,6394,6399,6403,6405,6406,6446,6468,6478,6488,6500,6510,6528,6537,6545,6546,6561,6570,6583,6593,6608,6614,6641,6660,6662,6676,6689,6692,6700,6709,6712,6732,6752,6757,6766,6800,6816,6828,6830,6836,6866,6874,6892,6896,6904,6924,6954,6972,6982,6983,6988,6992,7014,7023,7047,7066,7068,7070,7074,7083,7094,7106,7108,7147,7164,7168,7170,7174,7182,7185,7188,7199,7213,7218,7253,7284,7287,7310,7314,7315,7317,7320,7328,7358,7363,7370,7382,7412,7414,7419,7424,7459,7461,7466,7482,7484,7496,7520,7523,7528,7536,7541,7558,7561,7571,7580,7587,7616,7626,7642,7652,7669,7673,7685,7694,7697,7738,7749,7758,7771,7774,7798,7811,7821,7884,7904,7916,7933,7939,7945,7949,7952,7969,7989,8017,8030,8105,8116,8117,8127,8159,8171,8172,8183,8219,8227,8229,8238,8241,8262,8276,8325,8328,8334,8342,8347,8348,8358,8393,8408,8423,8439,8446,8466,8475,8483,8484,8491,8492,8501,8510,8514,8553,8554,8555,8577,8629,8638,8643,8646,8657,8667,8671,8675,8702,8727,8744,8765,8805,8819,8833,8835,8844,8862,8867,8927,8947,8956,8994,9005,9008,9010,9024,9031,9054,9057,9077,9080,9102,9121,9140,9151,9157,9165,9214,9216,9234,9237,9250,9261,9265,9267,9295,9339,9360,9363,9379,9413,9418,9419,9463,9467,9477,9479,9484,9529,9538,9558,9559,9561,9583,9588,9599,9601,9625,9632,9660,9691,9708,9718,9734,9737,9762,9785,9787,9819,9825,9841,9843,9847,9849,9873,9900,9909,9918,9925,9933,9978,9991,9992,9993,9997,10004,10055,10069,10113,10121,10130,10131,10145,10197,10210,10226,10233,10258,10265,10272,10273,10279,10319,10322,10341,10354,10418,10424,10432,10442,10445,10488,10496,10562,10588,10605,10617,10635,10664,10668,10672,10682,10689,10714,10716,10742,10922,10964,10973,10975,11010,11068,11078,11094,11097,11104,11123,11131,11169,11170,11201,11217,11227,11234,11279,11365,11402,11425,11427,11436,11461,11472,11479,11485,11499,11517,11523,11558,11595,11602,11618,11619,11620,11649,11650,11667,11745,11757,11772,11800,11816,11833,11847,11887,11902,11920,11936,11944,11951,11960,11999,12001,12029,12059,12070,12078,12103,12145,12180,12184,12190,12288,12297,12310,12313,12432,12464,12472,12481,12568,12610,12707,12715,12720,12782,12798,12802,12882,12883,12900,12948,12954,12961,12977
06	810,903,1042,1101,1218,1249,1402,1423,1523,1545,1605,1706,1712,1784,1798,1841,1867,1886,1946,1961,1982,2041,2052,2076,2090,2248,2257,2264,2266,2284,2322,2327,2354,2374,2400,2415,2450,2454,2565,2569,2576,2608,2614,2623,2635,2644,2690,2721,2767,2768,2881,2885,2940,2984,3027,3039,3065,3069,3077,3094,3119,3122,3167,3187,3188,3211,3220,3226,3270,3274,3333,3341,3376,3403,3465,3565,3584,3618,3620,3665,3668,3675,3686,3691,3705,3733,3768,3778,3791,3807,3815,3830,3910,3915,3938,3951,3961,3995,4036,4053,4060,4068,4071,4074,4083,4103,4111,4112,4132,4139,4168,4173,4183,4227,4234,4249,4253,4266,4304,4330,4349,4358,4385,4401,4403,4407,4434,4446,4447,4469,4562,4587,4602,4616,4631,4657,4662,4688,4689,4696,4704,4714,4741,4838,4839,4895,4972,4975,4980,4985,4988,4996,5008,5012,5013,5033,5039,5086,5100,5106,5133,5136,5157,5168,5169,5173,5178,5198,5205,5208,5212,5220,5241,5262,5263,5284,5290,5300,5308,5322,5331,5340,5358,5408,5421,5426,5485,5490,5500,5522,5524,5549,5554,5565,5574,5604,5609,5612,5620,5637,5674,5692,5713,5714,5728,5752,5762,5766,5815,5848,5858,5863,5896,5906,5913,5918,5925,5929,5945,5958,5965,5993,6010,6011,6060,6080,6110,6120,6134,6163,6174,6180,6203,6207,6220,6247,6291,6299,6304,6314,6365,6382,6392,6418,6432,6477,6527,6543,6549,6567,6579,6634,6647,6659,6670,6687,6693,6694,6701,6715,6720,6726,6731,6744,6747,6748,6750,6753,6758,6770,6787,6797,6829,6838,6857,6859,6878,6947,6986,7025,7041,7048,7051,7072,7086,7092,7097,7114,7139,7154,7175,7193,7210,7236,7267,7272,7274,7276,7309,7316,7325,7345,7353,7377,7385,7387,7415,7418,7420,7427,7430,7441,7477,7485,7490,7495,7501,7527,7533,7567,7586,7588,7589,7663,7690,7696,7699,7712,7722,7725,7730,7737,7747,7754,7792,7795,7805,7819,7867,7877,7879,7881,7882,7897,7907,7937,7946,7962,7998,8002,8019,8035,8041,8060,8079,8094,8111,8134,8139,8142,8170,8179,8182,8192,8224,8277,8287,8292,8319,8322,8329,8376,8380,8397,8413,8419,8420,8421,8445,8450,8451,8468,8472,8487,8490,8500,8505,8513,8520,8530,8537,8539,8550,8573,8594,8606,8625,8647,8649,8652,8679,8689,8695,8697,8720,8756,8771,8794,8843,8849,8881,8898,8943,8945,8978,8986,9030,9038,9040,9069,9073,9076,9122,9180,9181,9190,9253,9270,9291,9300,9309,9356,9387,9395,9396,9423,9438,9452,9458,9465,9489,9491,9499,9500,9514,9515,9517,9557,9578,9579,9585,9596,9604,9618,9635,9642,9665,9700,9701,9730,9739,9754,9755,9766,9769,9775,9794,9797,9842,9857,9897,9910,9927,9956,9963,9964,9969,10028,10042,10049,10095,10105,10132,10139,10167,10171,10180,10199,10208,10237,10338,10372,10427,10429,10437,10466,10491,10501,10502,10594,10616,10630,10684,10708,10715,10717,10731,10735,10809,10811,10825,10891,10913,10923,10939,10940,10947,10957,10982,11024,11037,11062,11085,11098,11111,11119,11121,11163,11189,11218,11219,11240,11253,11262,11318,11360,11375,11464,11470,11476,11504,11560,11585,11589,11624,11639,11749,11787,11796,11863,11868,11885,11900,11906,11950,12055,12098,12106,12187,12210,12327,12329,12392,12412,12449,12461,12478,12483,12546,12554,12559,12626,12648,12702,12705,12736,12770,12771,12793,12804,12848,12853,12861,12867,12873,12876,12913,12914,12928,12993,13009
07	21
08	2062,3071,3535,3596,3640,3696,3718,3750,3816,3999,4051,4128,4134,4135,4178,4289,4443,4514,4611,4721,4863,4937,4950,4999,5053,5161,5257,5271,5286,5457,5463,5493,5511,5621,5763,5767,5820,5825,5915,5919,5973,6012,6013,6019,6061,6091,6189,6193,6244,6342,6425,6464,6487,6501,6502,6534,6597,6636,6699,6725,6823,6894,6936,6969,7000,7036,7049,7053,7172,7255,7269,7278,7289,7313,7318,7432,7436,7483,7534,7537,7638,7643,7689,7733,7736,7788,7827,7866,7948,7959,8027,8037,8082,8123,8132,8158,8194,8198,8240,8255,8288,8296,8350,8388,8481,8498,8515,8536,8593,8680,8700,8711,8724,8758,8760,8761,8767,8773,8776,8788,8864,8882,8892,8921,8935,8975,9128,9192,9197,9340,9364,9389,9412,9469,9527,9580,9682,9727,9748,9802,9808,9818,9829,9838,9848,9850,9861,9888,9920,9967,9984,10003,10006,10009,10020,10022,10024,10029,10061,10063,10070,10073,10086,10110,10123,10135,10136,10146,10170,10173,10177,10193,10211,10234,10250,10259,10260,10263,10278,10342,10351,10358,10397,10409,10413,10414,10417,10425,10428,10439,10474,10477,10511,10536,10565,10573,10580,10597,10611,10613,10648,10685,10695,10697,10737,10762,10853,10907,10931,10959,10980,10998,11003,11081,11113,11154,11160,11171,11181,11193,11204,11206,11229,11242,11251,11321,11322,11324,11349,11359,11387,11428,11448,11457,11477,11482,11547,11566,11570,11579,11596,11625,11703,11707,11719,11743,11751,11802,11827,11846,11849,11882,11905,11962,12012,12041,12069,12071,12073,12080,12087,12092,12096,12130,12172,12186,12194,12220,12222,12233,12236,12237,12249,12272,12295,12320,12337,12339,12345,12352,12361,12406,12408,12410,12426,12429,12436,12476,12499,12516,12538,12588,12594,12598,12631,12641,12653,12692,12696,12697,12701,12714,12718,12722,12741,12768,12801,12821,12847,12852,12856,12869,12891,12893,12904,12907,12908,12919,12929,12930,12935,12986,12990,12995,12999
09	3857,3891,4265,4866,5523,5542,5675,5854,6106,6186,6430,6515,6535,6609,6862,6918,7161,7178,7343,7381,7439,7548,7724,7780,7823,7857,7887,7902,7966,8023,8088,8184,8237,8283,8375,8470,8519,8543,8634,8648,8651,8737,8755,8823,8832,8851,8866,8886,8896,8936,8942,8982,9189,9204,9241,9328,9432,9488,9581,9695,9705,9758,9776,9840,9864,9896,9903,9923,10023,10133,10147,10158,10162,10176,10235,10300,10329,10378,10399,10503,10525,10527,10528,10529,10537,10600,10610,10615,10628,10663,10674,10739,10746,10750,10753,10781,10785,10804,10821,10822,10881,11008,11029,11045,11109,11143,11146,11151,11270,11276,11385,11420,11468,11495,11520,11581,11591,11630,11654,11674,11675,11681,11704,11708,11728,11732,11766,11831,11916,12022,12057,12123,12151,12198,12202,12212,12214,12232,12386,12388,12417,12443,12459,12462,12545,12561,12573,12576,12578,12620,12679,12686,12732,12737,12816,12849,12862,12889,12903,12920,12973
